노트 인덱스,음악 포지션,공격,스킬1,스킬2
0,1200000000,0,0,0
1,2400000000,0,0,0
2,3600000000,0,0,0
3,4800000000,0,0,0
4,6000000000,0,0,0
5,7200000000,0,0,0
6,8400000000,1,0,0
7,9600000000,0,0,0
8,10800000000,0,1,0
9,12000000000,0,0,0
10,13200000000,0,0,0
11,14400000000,0,0,0
12,15600000000,0,0,0
13,16800000000,0,0,0
14,18000000000,0,0,0
15,19200000000,0,0,0
16,20400000000,0,0,0
17,21600000000,0,0,0
18,22800000000,0,0,0
19,24000000000,0,0,0
20,25200000000,0,0,0
21,26400000000,1,0,0
22,27600000000,0,0,0
23,28800000000,0,0,0
24,30000000000,0,0,0
25,31200000000,0,0,0
26,32400000000,1,0,1
27,33600000000,0,0,0
28,34800000000,0,0,0
29,36000000000,0,0,0
30,37200000000,1,0,0
31,38400000000,0,0,0
32,39600000000,0,0,0
33,40800000000,0,0,0
34,42000000000,1,0,0
35,43200000000,0,0,0
36,44400000000,0,0,0
37,45600000000,0,0,0
38,46800000000,0,0,0
39,48000000000,0,0,0
40,49200000000,1,0,1
41,50400000000,0,0,0
42,51600000000,0,0,0
43,52800000000,0,0,0
44,54000000000,1,0,0
45,55200000000,0,1,0
46,56400000000,0,0,0
47,57600000000,0,0,0
48,58800000000,0,0,0
49,60000000000,0,0,0
50,61200000000,0,0,0
51,62400000000,0,0,0
52,63600000000,0,0,0
53,64800000000,0,0,0
54,66000000000,0,0,0
55,67200000000,0,0,0
56,68400000000,0,0,0
57,69600000000,0,0,0
58,70800000000,1,0,0
59,72000000000,0,0,0
60,73200000000,0,0,0
61,74400000000,0,0,0
62,75600000000,1,0,0
63,76800000000,0,0,0
64,86400000000,0,0,0
65,87000000000,0,0,0
66,87600000000,0,0,0
67,88200000000,0,0,0
68,88800000000,0,0,0
69,89400000000,1,0,0
70,90000000000,0,0,0
71,90600000000,0,0,0
72,91200000000,0,0,0
73,91800000000,0,0,0
74,92400000000,1,0,0
75,93000000000,0,0,0
76,93600000000,0,0,0
77,94200000000,0,1,0
78,94800000000,0,0,0
79,95400000000,1,0,0
80,96000000000,0,0,0
81,96600000000,0,0,0
82,97200000000,0,0,0
83,97800000000,0,0,0
84,98400000000,1,0,1
85,99000000000,0,0,0
86,99600000000,0,0,0
87,1.002E+11,1,0,0
88,1.008E+11,0,0,0
89,1.014E+11,0,0,0
90,1.02E+11,0,0,0
91,1.026E+11,1,1,0
92,1.032E+11,0,0,0
93,1.038E+11,0,0,0
94,1.044E+11,1,0,0
95,1.05E+11,0,0,0
96,1.056E+11,0,0,0
97,1.062E+11,1,0,0
98,1.068E+11,0,0,0
99,1.074E+11,0,0,0
100,1.08E+11,0,0,0
101,1.086E+11,1,1,0
102,1.092E+11,0,0,0
103,1.098E+11,0,0,0
104,1.104E+11,0,0,0
105,1.11E+11,0,0,0
106,1.116E+11,0,0,0
107,1.122E+11,0,0,0
108,1.128E+11,0,0,1
109,1.134E+11,1,0,0
110,1.14E+11,0,0,0
111,1.146E+11,0,0,0
112,1.152E+11,1,0,0
113,1.158E+11,0,0,0
114,1.164E+11,0,0,0
115,1.17E+11,0,1,0
116,1.176E+11,0,0,0
117,1.182E+11,1,0,0
118,1.188E+11,0,0,0
119,1.194E+11,0,0,0
120,1.2E+11,0,0,0
121,1.206E+11,0,0,0
122,1.212E+11,1,0,1
123,1.218E+11,0,0,0
124,1.224E+11,0,0,0
125,1.23E+11,0,0,0
126,1.236E+11,0,0,0
127,1.242E+11,1,1,0
128,1.248E+11,0,0,0
129,1.254E+11,0,0,0
130,1.26E+11,1,0,0
131,1.266E+11,0,0,0
132,1.272E+11,0,0,0
133,1.278E+11,0,0,0
134,1.284E+11,0,0,0
135,1.29E+11,0,0,0
136,1.296E+11,1,0,1
137,1.302E+11,0,0,0
138,1.308E+11,0,0,0
139,1.314E+11,0,0,0
140,1.32E+11,1,0,0
141,1.326E+11,0,0,0
142,1.332E+11,0,0,0
143,1.338E+11,0,0,0
144,1.344E+11,1,1,0
145,1.35E+11,0,0,0
146,1.356E+11,0,0,0
147,1.362E+11,0,0,0
148,1.368E+11,0,0,0
149,1.374E+11,0,0,0
150,1.38E+11,0,0,1
151,1.386E+11,1,0,0
152,1.392E+11,0,0,0
153,1.398E+11,0,0,0
154,1.404E+11,0,0,0
155,1.41E+11,0,1,0
156,1.416E+11,1,0,0
157,1.422E+11,0,0,0
158,1.428E+11,0,0,0
159,1.434E+11,1,0,0
160,1.44E+11,0,0,0
161,1.446E+11,0,0,0
162,1.452E+11,0,0,0
163,1.458E+11,0,0,0
164,1.464E+11,0,0,0
165,1.47E+11,0,0,0
166,1.476E+11,1,0,1
167,1.482E+11,0,0,0
168,1.488E+11,0,0,0
169,1.494E+11,1,0,0
170,1.5E+11,0,0,0
171,1.506E+11,0,0,0
172,1.512E+11,0,0,0
173,1.518E+11,1,1,0
174,1.524E+11,0,0,0
175,1.53E+11,0,0,0
176,1.536E+11,0,0,0
177,1.542E+11,1,0,0
178,1.548E+11,0,0,0
179,1.554E+11,0,0,0
180,1.56E+11,0,0,0
181,1.566E+11,1,1,0
182,1.572E+11,0,0,0
183,1.578E+11,1,0,0
184,1.584E+11,0,0,0
185,1.59E+11,0,0,0
186,1.596E+11,0,0,0
187,1.602E+11,0,0,0
188,1.608E+11,0,0,1
189,1.614E+11,0,0,0
190,1.62E+11,1,0,0
191,1.626E+11,0,0,0
192,1.632E+11,0,0,0
