³ëÆ® ÀÎµ¦½º,À½¾Ç Æ÷Áö¼Ç,
0,1.08434e+09
1,2.16867e+09
2,3.25301e+09
3,4.33735e+09
4,5.42169e+09
5,6.50602e+09
6,7.59036e+09
7,8.6747e+09
8,9.75904e+09
9,1.08434e+10
10,1.19277e+10
11,1.3012e+10
12,1.40964e+10
13,1.51807e+10
14,1.62651e+10
15,1.73494e+10
16,1.84337e+10
17,1.95181e+10
18,2.06024e+10
19,2.16867e+10
20,2.27711e+10
21,2.38554e+10
22,2.49398e+10
23,2.60241e+10
24,2.71084e+10
25,2.81928e+10
26,2.92771e+10
27,3.03614e+10
28,3.14458e+10
29,3.25301e+10
30,3.36145e+10
31,3.46988e+10
32,3.57831e+10
33,3.68675e+10
34,3.79518e+10
35,3.90361e+10
36,4.01205e+10
37,4.12048e+10
38,4.22892e+10
39,4.33735e+10
40,4.44578e+10
41,4.55422e+10
42,4.66265e+10
43,4.77108e+10
44,4.87952e+10
45,4.98795e+10
46,5.09639e+10
47,5.20482e+10
48,5.31325e+10
49,5.42169e+10
50,5.53012e+10
51,5.63855e+10
52,5.74699e+10
53,5.85542e+10
54,5.96386e+10
55,6.07229e+10
56,6.18072e+10
57,6.28916e+10
58,6.39759e+10
59,6.50602e+10
60,6.61446e+10
61,6.72289e+10
62,6.83133e+10
63,6.93976e+10
64,7.04819e+10
65,7.15663e+10
66,7.26506e+10
67,7.37349e+10
68,7.48193e+10
69,7.59036e+10
70,7.6988e+10
71,7.80723e+10
72,7.91566e+10
73,8.0241e+10
74,8.13253e+10
75,8.24096e+10
76,8.3494e+10
77,8.45783e+10
78,8.56627e+10
79,8.6747e+10
