³ëÆ® ÀÎµ¦½º,À½¾Ç Æ÷Áö¼Ç,
0,1052630000,
1,2105261579,
2,3157893158,
3,4210524737,
4,5263156316,
5,6315787895,
6,7368419474,
7,8421051053,
8,9473682632,
9,10526314211,
10,11578945790,
11,12631577369,
12,13684208948,
13,14736840527,
14,15789472106,
15,16842103685,
16,17894735264,
17,18947366843,
18,19999998422,
19,21052630001,
20,22105261580,
21,23157893159,
22,24210524738,
23,25263156317,
24,26315787896,
25,27368419475,
26,28421051054,
27,29473682633,
28,30526314212,
29,31578945791,
30,32631577370,
31,33684208949,
32,34736840528,
33,35789472107,
34,36842103686,
35,37894735265,
36,38947366844,
37,39999998423,
38,41052630002,
39,42105261581,
40,43157893160,
41,44210524739,
42,45263156318,
43,46315787897,
44,47368419476,
45,48421051055,
46,49473682634,
47,50526314213,
48,51578945792,
49,52631577371,
50,53684208950,
51,54736840529,
52,55789472108,
53,56842103687,
54,57894735266,
55,58947366845,
56,59999998424,
57,61052630003,
58,62105261582,
59,63157893161,
60,64210524740,
61,65263156319,
62,66315787898,
63,67368419477,
64,68421051056,
65,69473682635,
66,70526314214,
67,71578945793,
68,72631577372,
69,73684208951,
70,74736840530,
71,75789472109,
72,76842103688,
73,77894735267,
74,78947366846,
75,79999998425,
76,81052630004,
77,82105261583,
78,83157893162,
79,84210524741,
80,85263156320,
81,86315787899,
82,87368419478,
83,88421051057,
84,89473682636,
85,90526314215,
86,91578945794,
87,92631577373,
88,93684208952,
89,94736840531,
90,95789472110,
91,96842103689,
92,97894735268,
93,98947366847,
94,99999998426,
95,1.01053E+11,
96,1.02105E+11,
97,1.03158E+11,
98,1.04211E+11,
99,1.05263E+11,
100,1.06316E+11,
101,1.07368E+11,
102,1.08421E+11,
103,1.09474E+11,
